Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Senior Data Scientist - Algorithms,$96K-$119K (Glassdoor est.),"Company Description: Quartet is a pioneering healthcare technology company striving to improve the lives of people with mental health conditions. We connect people to a personalized care team to get them the right care at the right time. Our collaborative technology platform and range of services brings together physicians, mental health providers, and insurance companies to effectively improve patient outcomes and drive down healthcare costs. Backed by $93MM in venture funding from top investors like Oak HC/FT, GV (formerly Google Ventures), F-Prime Capital Partners, and Polaris Partners, Quartet is headquartered in NYC and is currently operating in several markets across the United States — Pennsylvania, Washington, Northern California, and New Jersey.

Role Description: As a Sr. Data Scientist at Quartet, you will work in collaboration with other data scientists, bioinformaticians and platform engineers. In this role, you will build machine learning models and recommendation services to enable our applications to suggest timely and appropriate behavioral health care interventions for patients. You'll work with datasets that include millions of detailed medical, pharmacy, lab claims, EHR, and application data. You will help with development and validation of new algorithms that enhance our system in terms of scalability, reliability and accuracy. The ideal candidate will be an entrepreneurial, motivated data scientist who is well-versed in data analysis and algorithm implementation and eager to learn new things and make an impact on the industry. Health data experience is a plus, but it's not necessary.

Responsibilities:
Work with an interdisciplinary technical team to develop statistical models in Quartet’s platform.
Apply data mining and machine learning techniques to develop better personalization and recommendation for patients’ and doctors’ needs.
Design and develop effective models, features, and algorithms involving multiple datasets - user activity, EHR, ADT, medical claims, pharmacy claims, lab test claims etc.
Derive insights from descriptive analysis that drive a data-informed process for experimenting with new products to improve patient outcomes.
Qualifications:
Experience building high quality data products.
7+ years experience as a data scientist, software engineer with predictive modeling, or similar experience of solving real problems with data mining and machine learning techniques.
PhD or Master’s Degree in computer science, machine learning, applied statistics, physics, or a related quantitative discipline.
Proficiency in building Machine Learning (supervised and unsupervised) models and recommendation systems.
Strong knowledge of mathematical fundamentals: probability theory, linear algebra and statistics.
Ability to execute, starting from problem definition, to a working implementation.
Ability to clearly communicate across disciplines and work collaboratively.
Proficiency in Python and code versioning systems like git.
Expertise with data science toolkits like scikit-learn and pandas.
Knowledge of software architectures and tools such as Scala, Hadoop.
Familiarity working in a Linux server-based environment.
Employee Benefits for Quartet include: Unlimited vacation, volunteer opportunities, catered lunches, snacks, team events and outings, full medical, dental + vision coverage, generous parental leave, commuter benefits, 15 free therapy sessions + unlimited copay reimbursements for mental healthcare, 401K, ESPP, gym benefits.

Want to know what Quartet life is like? Click here to meet our team. Quartet is committed to building a diverse team and fostering an inclusive culture, and is proud to be an equal opportunity employer. We embrace and encourage our employees' differences in race, religion, color, national origin, gender, family status, sexual orientation, gender identity, gender expression, age, veteran status, disability, pregnancy, medical conditions, and other characteristics. Headhunters and recruitment agencies may not submit resumes/CVs through this Web site or directly to managers. Quartet does not accept unsolicited headhunter and agency resumes. Quartet will not pay fees to any third-party agency or company that does not have a signed agreement with Quartet. Please note: Quartet interview requests and job offers only originate from quartethealth.com email addresses (e.g. jsmith@quartethealth.com). Quartet will also never ask for bank information (e.g. account and routing number), social security numbers, passwords, or other sensitive information to be delivered via email. If you receive a scam email or wish to report a security issue involving Quartet, please notify us at: security@quartethealth.com.

Have someone to refer? Email talent@quartethealth.com to submit their details to us.",3.9,"Quartet Health
3.9","New York, NY","New York, NY",201 to 500 employees,2014,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
Senior Data Scientist,$96K-$119K (Glassdoor est.),"About Us

At GutCheck, we pioneered agile market research to provide our clients with actionable insights at the speed of their business. As the marketplace rapidly evolves, we're evolving with it. By combining qualitative, quantitative, and behavioral methodologies, our team of full-service research experts synthesizes insights to help clients make more confident business decisions -- connecting them with their target consumers earlier and more often in the development process.

What Makes Our Approach Different

We create heroes out of our clients by providing them with contextualized insights to more efficiently and effectively connect with their target audiences. Enabled by technology and automation, we are dedicated partners who take a human-first approach to delivering powerful insights. Today, we are bringing agile to strategy: enabling brands to gather robust foundational insights in an agile, iterative way to inform key business within the demands of today's innovation timelines.

Here's where you come in:

As our Senior Data Scientist, you will be the primary contributor that will operationalize predictive models built with machine learning and advanced analytic technologies. GutCheck owns years of structured and unstructured data. We've started to identify patterns in our world-class market research using machine learning technologies such as TensorFlow. You will help us by providing expertise on mathematical concepts for the broader cross-functional analytics team and inspire the adoption of advanced analytics and data science across the entire breadth of our organization.

You will work closely with our talented and agile Product and Engineering teams to craft scalable, well-designed solutions that address the technical and architectural challenges inherent to making sense of our data. We have a focus on quality, automation, and innovation. We encourage our Engineers to think creatively and flexibly when choosing solutions, tools, and techniques. Our team offers an environment where trust and innovation are encouraged, egos aren't accepted, and collaboration is core to our DNA.

You will advocate, evangelize and build data-fueled products that help our internal and external customers gain deeper insights into direct, targeted consumer feedback. This data can and will be coupled with third-party data sources to help our clients be heroes by making well informed business decisions. You'll help research and choose which data sources will provide unique and compelling insights, and then you'll dig in and become an expert on that data. You will provide insight into leading analytic practices, design and lead iterative learning and development cycles, and ultimately produce new and creative analytic solutions that will become part of our core deliverables.

For more information on the company and the GutCheck team, please go to www.gutcheckit.com

This job description is not a complete list of your qualifications or position roles. GutCheck is proud to be an equal opportunity employer. We are committed to equal opportunity regardless of race, color, ancestry, religion, gender, gender identity, genetic information, parental or pregnancy status, national origin, sexual orientation, age, citizenship, marital status, disability, or Veteran status.",3.8,"GutCheck
3.8","Denver, CO","Denver, CO",51 to 200 employees,2009,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million (USD),"Nielsen, Zappi, SurveyMonkey"
"Scientist III, Quality Control",$96K-$119K (Glassdoor est.),"The Scientist 3 - QC is responsible to perform testing of raw materials, in-process and finished pharmaceutical dosage forms, products on stability, cleaning verification samples following written procedures and applicable SOPs, calculate and report results on applicable specification documents, participate in method transfer activities within departments or between facilities or organizations. This role will also provide feedback on systems and analytical procedures to promote continuous improvement and enhancement of compliance posture.

Essential Functions:
Perform physical and chemical analysis of raw materials, in-process, and finished pharmaceutical products, including products on stability, according to written methods, material specification, and company policies as identified in standard operating procedures (SOPs). Comply with cGMps, SOPs, and STPs to avoid out-of-specification situation. Assure compliance with state and federal regulations.
Actively participate in any project work as and when assigned. Perform process validation and cleaning validation/verification testing on various drugs. Assist other scientists with analytical, instrument and software related problems as required.
Use sonic sifter, laser diffraction, Karl Fischer, UV-Vis spectrophotometer, Infra-red spectrophotometer, HPLC with UV detection as well as with conductivity detection, TLC, pH meter, and dissolution. Calibrate HPLC, Dissolution apparatus equipped with auto-sampler and /or in-line UV, pH meters, analytical balances, and Karl-Fischer titrator.
Document steps followed during analysis execution, calculate and report results. Actively participate in investigation of laboratory results.
Review laboratory analysis data for completeness, specification compliance, and compliance with company’s written policies.
Report any abnormal findings to the Supervisor. As assigned, perform in-depth review of analytical records/reports to assure that calculations and other data are technically correct and compliant to relevant specifications.

Additional Responsibilities:
Assist the laboratory supervisor with handling non-routine special projects requiring activities such as out-of-specification investigations and out-of-alert limit investigations in the laboratory.
Ensure that expired chemicals and reference standards are removed from laboratory area.
Perform calibration of HPLC, GC, and other equipment as assigned by the supervisor.
Assist with hands-on training of newly hired Technicians or Scientists 1 and 2 levels.

Qualifications

Education:
Bachelors Degree (BA/BS) Chemistry or related science discipline - Required
Master Degree (MS/MA) Chemistry or related science discipline - Preferred

Experience:
5 years or more in Bachelors Degree (BA/BS) -Testing of chemicals/pharmaceutical products
3 years or more in Masters Degree (BA/BS) -Testing of chemicals/pharmaceutical products

Skills:
Must be precise and consistent in day to day analysis, easily trainable and ready to learn. - Advanced
Must be able to work in a team environment and be flexible to easily adapt to changes in assignments. - Advanced
Must be able to execute compendial procedures involving complexity with no or minimal supervision. - Intermediate
Must be able to effectively communicate results, problems or issues, verbally as well as in writing. - Intermediate
Must be able to assume a role of a leader in team environment as and when required. - Intermediate
Must be computer literate and savvy with MS office applications, software programs related to LIMS. - Intermediate
Must be willing to work extended hours, including weekends, as and when required. - Intermediate
Must follow safe practices as identified in appropriate MSDS during working with chemicals, and must follow applicable state and federal regulations. - Advanced
Must be capable of maintaining clear and concise laboratory records and communicating clearly both within and between departments. - Advanced
Must be thoroughly familiar with cGMP applicable to laboratories in pharmaceutical settings and with method verification/validation concepts. - Advanced
Must be able to review laboratory records to ascertain compliance with applicable specifications, methods, and SOPs. - Intermediate

Specialized Knowledge:
Must possess in-depth knowledge of analytical chemistry techniques, such as spectrophotometric, dissolution and drug release, chromatographic techniques (standalone or hypenated) and measuring physical parameters (viscosity, particle size or droplet size by laser diffraction, melting point by DSC, water content by TGA, identification by XRPD, and other techniques).
Must be able to follow compendial (USP/EP/BP/JP) procedures for analysis.
Must understand and apply cGMP requirements applicable to quality control laboratory.
Must have ability to apply advanced technical skills to troubleshoot and resolve complex analytical and instrument-related problems effectively and in a timely manner and report actions to the laboratory management in a timely manner.
Must be able to identify trends in analytical data.

Primary Location: US-NY-Brookhaven
Work Locations: Brookhaven 50 Horseblock Road Brookhaven 11719
Job: Quality Control
Organization: Quality
Schedule: Regular
Shift: Standard
Employee Status: Individual Contributor
Job Type: Full-time
Job Level: 1st Shift
Job Posting: Dec 11, 2019, 9:49:01 AM",3.1,"Amneal Pharmaceuticals
3.1","Brookhaven, NY","Bridgewater, NJ",5001 to 10000 employees,2002,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),"Mylan Inc, Novartis, Teva Pharmaceuticals"
Product Development Food/Meat Scientist,$96K-$119K (Glassdoor est.),"Suzannas Kitchen is a medium sized manufacturer with two facilities and growing in national distribution of fully cooked/frozen food products in Duluth, GA (North Metro Atlanta area). We need an experienced Product Development Food / Meat Scientist that will be focused on new product development and packaging in a fast paced environment. Above all, this position must represent the best interests of the company to the marketplace in terms of technology, professionalism and future development.

Responsibilities:
Develop products with superior design leveraging expertise in food chemistry, food ingredient functionality and experimental design
Translate consumer needs and market trends into strategic and tactical product innovation and renovation projects
Utilize scientific methods to develop knowledge that creates business opportunities that support the company strategic market objectives.
Provide technical and business risk assessment/perspectives related to new product development.
Design and execute experiments, and analyze and interpret data to make sound technical recommendations on product and process issues.
Leverage external and internal experts for key analytical and sensory research.
Perform basic economic evaluations on ingredients, ingredient suppliers, and product formulations.
Develop complete product attribute specifications for new products.
Participate as an active member of cross-functional business development teams comprised of individuals from a variety of disciplines, including Marketing, Purchasing, Engineering, and other groups.
Partnering with R&D disciplines as Quality Assurance, Food Safety, Nutrition, Regulatory, to ensure a robust, safe and legal product design.
Education/Requirements:

B.S. in Food Science, Meat Science preferred.
3 or more years experience Research and/or Industry Knowledge with meat and poultry products.
Working knowlege of vacuum/injection marination systems
Batter and breading application
Frying, roasting, steaming, smoking, freezing, high pressure pasteurization processing knowledge.
Detail oriented individual who can support and partner with lead Scientists during accelerated product development life cycles that include new idea generation, prototype development, product optimization, production start-up for test market and national launching of new products
The ability and interest to work in laboratory and manufacturing scale environments.
Strong communication skills (oral and written)
Benefits

Medical, Dental, Vision, STD/LTD and Life Insurance, PTO, Excellent Profit Sharing ESOP & 401K/ROTH

EOE

Job Type: Full-time

Experience:
product development: 1 year (Preferred)
food safety: 1 year (Preferred)
Location:
Norcross, GA 30071 (Required)
Work authorization:
United States (Required)
Benefits:
Health insurance
Dental insurance
Vision insurance
Retirement plan
Paid time off
Schedule:
Monday to Friday
Other
Work Remotely:
No",-1,"Suzanna's Kitchen, Inc.","Norcross, GA",-1,-1,-1,-1,-1,-1,-1,-1
Oligonucleotide PD Scientist,$96K-$119K (Glassdoor est.),"Position Summary:
The Oligonucleotide Process Development Scientist will work in the Process Development group to support broadly diagnostic and therapeutic oligonucleotide manufacturing process development, transfer and trouble-shooting production issues.

Responsibility:
Optimize and scale up/down synthesis, purification, conjugation and downstream processing methods in preparation for handover to routine manufacturing.
Provide technical and early stage manufacturing support in the development of diagnostic and therapeutic GMP manufacturing process and capability, including developing and drafting of manufacturing procedures.
Provide technical support in root cause failure analysis for production and quality incidents.
Keep good records of production activities, experimental procedures and analytical data.
Maintain the chemistry laboratory space in compliance with safety regulations.
Provide technical customer support and routine progress updates to clients in conjunction with project manager assigned to each specific project.

CA1

Qualifications

Experience/Education

Bachelor, Master or PhD degree in Chemistry or related disciple with laboratory experiences. Title and Salary will be commensurate with training and working experience.
Experience in nucleoside, nucleotide, nucleic acid or oligonucleotide chemistry.
Experience in the process development, process transfer, scale up/down modelling, equipment and Unicorn software.
Experience in solid phase oligonucleotide synthesis chemistry, anion-exchange and/or reverse-phase chromatography.
Experience working in contract development and manufacturing environment, GMP experience is plus.
Must have solid teamwork skills to interface with engineers, chemists, and analysts to ensure smooth laboratory and plant operations.
Experience interacting with customers and providing technical support.

Technology/Equipment Skills:
Advanced proficiency with Microsoft Outlook, Word, and Excel (Macro).
Use of a web browser.
Proficiency with GE Unicorn or similar software is required.",-1,LGC Limited,"Petaluma, CA","Teddington, United Kingdom",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable,-1
Staff Scientist- Immunology,$96K-$119K (Glassdoor est.),"Job Description
To perform and oversee the performance of molecular and immunology assays in the laboratory, including, but not limited to, flow cytometry-based assays (surface and intra-cellular staining), handling and processing of a variety of preclinical and clinical samples, T- and B-cell ELISPOT, proliferation studies, cell and viral culture, viral neutralization assays, ELISA-based assays, biomarker detection in a multiplexed manner (Luminex, MSD), antibody affinity (ForteBio Octet), Fc function assays, tetramer analysis, qPCR and ddPCR-based molecular assays.
S/He will be responsible, where required, for reviewing all data, performing data analysis and writing/editing study reports in order to meet commercial and government contract obligations in a timely manner.
The incumbent will be responsible for daily scientific duties in the laboratory in order to meet commercial and government contract obligations in a timely manner. This activity involves, but is not limited to, training and communicating with other laboratories, departments, technical coordinators/project managers, external animal facilities and subcontractors.
S/he will serve, as required, as the Scientific Lead on commercial and/or government contracts/task orders/studies in order to provide expertise on scientific/technical elements of the respective contract(s).
S/he will assist the department head (i.e., VP of Immunology), in identifying new areas of research, new technologies and assay platforms that ABL could adopt to expand its services.
S/he will assist in performing technical due diligence on new platforms, new disease areas, technologies and new research areas for expanding ABLs immunological offerings. Part of this exercise will involve developing an understanding of the expansive applications of these technologies and platforms, the cost (investment) to adopt such technologies and justifying its utility to the laboratory and ABL. A particular focus of this position will be on the application of expertise and technical approaches with direct applications in the oncology field in support of the latest interventions in immune-therapy and Immuno-oncology.
S/he will assist in the planning, design, optimization and development of new molecular and immunological assays.
S/he will apply and oversee the application of molecular and immunological tools in exploring new areas of research and development.
S/he will provide scientific input to assist in the preparation of technical proposals to funding agencies and prospective clients.
S/he will generate analytical plans and analytical methods that specify work to be performed for specific contracts.
S/he is expected to interact, internally with a wide range of departments, specifically Business Development and Project Management, and externally with government and commercial clients.
S/he will communicate with the Vice President of Immunology on the progress of execution of analytical plans.
Job Requirements*
Ph.D. (Immunology, Biochemistry/Molecular Biology or related field) with 5 years of post-doctoral experience.
Strong background in immunology a requirement.
Familiarity with a range of cellular assays (T cell and B cell ELISPOT, ICS, Immunophenotyping, etc) antibody-based assays (ELISA, ADA, Fc functionality, Ab affinity) and PCR-based assays is essential for this role.
Substantial experience with flow cytometry instruments (LSR-2, Canto, Fortessa) and data analysis software (DIVA and FlowJo) is desired.
Experience with designing and optimizing flow cytometry panels.
Previous work in a BSL2 environment.
Ability to effectively summarize scientific data and perform basic statistical analysis of datasets.
Strong aptitude to work collaboratively with internal and external partners. The candidate is expected to be independent and highly self-organized.
Job Type: Full-time

Benefits:
Health insurance
Dental insurance
Vision insurance
Retirement plan
Paid time off
Parental leave
Professional development assistance
Tuition reimbursement
Schedule:
Monday to Friday
Work Remotely:
No",2.7,"Advanced BioSciences Laboratories
2.7","Rockville, MD","Rockville, MD",201 to 500 employees,1961,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$25 to $50 million (USD),-1
"Scientist III, Pharma R & D",$96K-$119K (Glassdoor est.),"The Scientist III develops and executes formulation strategies related to product development, such as project planning, experimental design and data evaluations. The Scientist III applies technical expertise and has knowledge of various formulation development approaches. Demonstrates leadership and experience in the area of pre-formulation, formulation and process development of immediate and modified solid dosage, Topicals (cream,gel), Oral liquid and /or Transdermal. The position reports to a Manager/ Principal Scientist as described in the current organization chart of the department.

Essential Functions:
Develops formulation strategy and designs experimental plan, formulation and process development work for oral controlled release and immediate release dosage forms, Topicals, (cream, gel), Oral Liquid, and Transdermal products.
Responsible for selection of raw materials, packaging components and process requirements based on sound scientific principles.
Reviews analytical and clinical data and makes scientific conclusions.
Writes and reviews protocols and batch records for process development and evaluation work, scale up and pivotal batch manufacturing.
Creates and reviews technical documents, reports and presentations for cross functional teams. Writes Modules of ANDA's for submission.
Maintain Design history files for combination products. Develop design and development plan.
Keeps updated on cGMP and current technologies.

Additional Responsibilities:
Provides scientific and technical direction to junior staff members (scientists I, II, technicians & operators) to ensure project deadlines and performance standards are met.
Identifies, analyzes and suggests corrective actions to optimize R&D processes, technologies and regulatory compliance issues.
Equipment: Becomix, Tube filler, Transdermal and liquid manufacturing equipment.
Reviews Junior Scientist work.

Qualifications

Education:
A Master Degree (MS/MA) in Pharmaceutical, Chemistry or related technical field is preferred
A Bachelors Degree (BA/BS) in Pharmaceutical, Chemistry or related technical field is required.

Experience:
3 years or more experience with a Master Degree in development of Pharmaceutical Dosage Forms is required.
5 years or more experience with a Bachelors of Science in development of Pharmaceutical Dosage Forms is required.

Skills:
Must have knowledge of Pharmaceutical product development and manufacturing process. - Intermediate
Must be precise and consistent in day to day developmental work, easily trainable and ready to learn. - Intermediate
Must be able to effectively communicate reports, problems or issues, verbally as well as in writing. - Intermediate
Must have good oral and written communication skills. - Intermediate
Must be able to work in a team environment and be flexible to easily adapt to changes in assignments. - Intermediate
Must follow safe practices as defined by the SOP's and MSDS. - Intermediate
Must be willing to work extended hours as and when required. - Intermediate
Strong interpersonal skills and maintaining cooperative working relationships with others. - Intermediate
Managing multiple projects, duties and assignments. - Intermediate

Specialized Knowledge:
Must possess in depth knowledge and trouble shooting skills with Wurster Bottom Spray Fluid Bed Processors from lab scale to Commercial scale.
Must possess expertise with the use and optimization of extrusion and spheronization manufacturing techniques.
Must have a good understanding of complex modified release dosage forms.
Must Possess in-depth knowledge of the operation and troubleshooting skills for various lab scale equipment to production scale equipment: including Blenders, granulators, planetary mixers, fluid bed dryers, fluid bed coaters, incubators, mills, vibrorotatory sifters, encapsulation equipment (Manual to fully automatic), tablet presses and tablet coaters, roller compaction, packaging.
Works independently once assignments and responsibilities are outlined and delegated. Effective in oral and written communication skills at all levels and cross functionally.

Primary Location: US-NJ-Piscataway
Work Locations: Piscataway 49 49 Colonial Drive Piscataway 08854
Job: Research & Analytics
Organization: Scientific Affairs
Schedule: Regular
Shift: Standard
Employee Status: Individual Contributor
Job Type: Full-time
Job Level: 1st Shift
Travel: No
Job Posting: Dec 4, 2019, 10:41:34 AM",3.1,"Amneal Pharmaceuticals
3.1","Piscataway, NJ","Bridgewater, NJ",5001 to 10000 employees,2002,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),"Mylan Inc, Novartis, Teva Pharmaceuticals"
Data Analyst II,$96K-$119K (Glassdoor est.),"The Data Analyst II is responsible for data entry and maintenance for our integrated enterprise system (SAP). As part of the Data Integrity team, this position is responsible for the accurate entry of data into SAP. The Data Integrity team is responsible for the efficient and effective management of part master data. This will require an individual with exceptional attention to detail, intermediate to advanced computer skills, in-depth knowledge of our business, products and processes.

WORK PERFORMED

To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required.

Essential Functions of the Job:

Product Data – Responsible for managing product information levels to established standards
Maintain data to meet company standards
Data includes images, technical specifications and other data elements
Ensure automated data feeds successfully populate materials
Manually populate non-automated data as necessary via proprietary system
Identify system enhancements to improve automated processes and quality of information
Perform audits to ensure accuracy of assigned manufacturers or categories
Communicate with providers and manufacturers to ensure complete product data is supplied
Request necessary information
Identify areas of improvement and provide feedback
Review data standards for assigned manufacturers and/or categories
Implement data standard improvements through manual and automated means to meet needs
Provide customer service support for both external and internal customers
Support and validate teammate adherence to master data policies.
Material Maintenance – Responsible for maintaining product catalog to established standards; Performing Price File Maintenance
Review automated data feeds for successful materials creation
Ensure materials are created correctly via download process
Identify and communicate reasons for automated failures to improve process
Manually process download failures
Determine if Sales requests meet Insight Catalog Policy
Review opportunities and determine if it is appropriate business for Insight
Provide guidance to address future opportunities
Ensure materials are not added to the catalog that do not fit Insight strategy
Manually create non-automated materials proactively or reactively according to company policy
Create materials via proprietary systems and/or SAP
Determine appropriate source, costing and categorization
Process internal requests for creation
Discontinue materials that are no longer available and/or based on company policy
Other projects – Responsible for completing additional projects and assignments as required by the department
All other assigned duties
MINIMUM REQUIREMENTS

Education and/or Experience:

Associates degree or above from a college or university; or 3 years industry work experience.

KNOWLEDGE, SKILLS, AND ABILITIES

Following are the skills, knowledge and abilities necessary to perform this job
Advanced spreadsheet skills
Ability to analyze and troubleshoot information for resolution
Ability to work well in cross-functional teams
Ability to multi-task in a fast-paced environment
Ability to meet aggressive service-level agreements
Ability to take a complex process or technology and create easy-to-follow copy
Excellent written and verbal communication, with strong editing skills
Knowledge of AP style
Vast knowledge of technical writing and styles associated with it
Collaborating with marketing and IT on search engine relevancy as it relates to parts data’s influence
Proficiency with MS Word, Excel, Outlook and SAP.
Ability to write reports and/or business correspondence.
Ability to effectively present information and respond to questions from groups of managers, customers, other employees.
Ability to effectively present information to other departments and manufacturer representatives.
Ability to read, analyze, and interpret business documents.
Ability to effectively communicate via email, phone and in person.
Ability to understand processes and identify areas of improvement.
Ability to multi-task and demonstrate strong organizational details.",4.2,"Insight Enterprises, Inc.
4.2","Plano, TX","Tempe, AZ",5001 to 10000 employees,1988,Company - Public,Enterprise Software & Network Solutions,Information Technology,$5 to $10 billion (USD),"CDW, PCM, SHI International"
Process Development Scientist - URS,$96K-$119K (Glassdoor est.),"Summary

To conceive, design, implement and execute specific scientific experiments, which contribute to the successful completion of goals and/or projects under general guidance of supervisor. Under general guidance of supervisor,
Conceives and designs, executes or evaluates, and interprets experimental strategies. Provides input to new processes to generate robust and reliable data. Ensures that studies are conducted in compliance with the respective protocol and applicable guidelines and regulations.

Requirements
Bachelors degree in Sciences/Engineering AND 5 years of directly related experience.
Supporting the development of User Requirements Specifications of equipment
Support the commissioning and qualification of new and existing assets
Support the characterization of new or existing assets, identifying boundary limits, critical parameters, developing the testing strategy and statistical sampling plans
Provide support in investigations and the proposal and implementation of corrective actions related to investigations
Ensure activities follow cGMP procedures and are documented according to cGMP requirements including assigned training
Apply lean six sigma, operational excellence and continues improvement in assigned projects.
Develop business cases for new or modifications to existing systems, to determine feasibility based on business needs, including but not limited to demand, capacity, logistics, space, financial impact and head count
Writing of test protocols, perform technical evaluations and testing to support reports used to justify the use of selected materials and packaging components
Job Type: Full-time

Experience:
Visual Manual Inspection Techniques: 5 years (Required)
Electronic Laboratory NotebooK: 5 years (Required)
vials and syringes: 5 years (Required)
5S and Lean Manufacturing Concepts: 5 years (Required)
Education:
Bachelor's (Required)
Schedule:
Monday to Friday
Other",-1,PRPDG,Puerto Rico,-1,-1,-1,-1,-1,-1,-1,-1
"Scientist, Population Genomics",$96K-$119K (Glassdoor est.),"WuXi NextCODE is seeking a motivated Scientist in Population Genetics to serve as a primary contact for new and existing life science partners. In this capacity he/she is responsible for applying genomic analysis tools to gain insights into clinicogenomic data sets (such as the UK Biobank) for common diseases. Prior experience with NGS data analysis is essential to enable the translation of questions of complex disease biology into our analytical workflows for the identification of drug targets, biomarkers and patient stratification.

This is an exciting position that allows you to interact directly with our life science partners to help them implement NGS analysis workflows and arrive at meaningful insights that have real-world impact. You will leverage your deep scientific knowledge to identify customer challenges and map them to WuXi NextCODEs products and services. This effort will be supported by your collaboration across internal teams from Applied Research, Bioinformatics, Informatics, and Data Science & AI.

Essential Functions

Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
Engage in scientific discussions with internal teams and external partners to provide scientific expertise for hypothesis generation, study design and data analysis of large scale clinicogenomic data sets.
Serve as the scientific/technical expert point of contact for prospective and existing partners; and identify opportunities to strengthen the scientific collaboration throughout the course of the project.
Apply statistical genetic/genomic approaches to integrate and analyze phenotypic and genomic data with the ultimate aim to identify/validate potential therapeutic targets and biomarkers.
Prepare and deliver original scientific content for proposals, white papers, and publications; and present scientific findings at conferences, in webinars and other thought leadership engagements that showcase the WuXi NextCODE genomic analysis approach and tools.
Effectively communicate complex scientific concepts to a wide-range of audiences with varying levels of expertise both internal and external to the organization.
Skills and experience

The successful candidate will be a results-focused, team-oriented, creative scientist, able to excel in a fast-paced environment. He or she must be self-motivated, detail-oriented and exhibit strong problem-solving skills. In addition, the successful candidate should be a clear and effective communicator, demonstrating strong interpersonal skills to enable collaboration with project teams, peers, management and external partners.
Experience in target discovery and validation pipelines preferred.
Strong statistical programming skills in languages such as R or Python.
Hands on experience with genomic pipelines, quality control procedures, and toolsets.
Ideal candidate is familiar with statistical genetics approaches to large scale genomics (PLINK, GWAS, PheWAS).
Experience applying novel approaches to integrating multi-omic data-sets (e.g., phenomic, genomic, transcriptomic, epigenomic)
D. in genetics, molecular biology or another relevant field preferred.",2.9,"Wuxi Nextcode
2.9","Cambridge, MA","Cambridge, MA",501 to 1000 employees,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1
